clavero,componente,nivel,nivel1,componente_nivel1,nivel2,componente_nivel2
FRE0108,Panel SIFA,2,FRE01,Paneles,,
FRE010801,    Toma manométrica,3,FRE01,Paneles,FRE0108,Panel SIFA
FRE010802,    Llave de aislamiento,3,FRE01,Paneles,FRE0108,Panel SIFA
FRE010804,    Válvula pilotada neumáticamente,3,FRE01,Paneles,FRE0108,Panel SIFA
FRE010805,    Electroválvula,3,FRE01,Paneles,FRE0108,Panel SIFA
FRE010806,    Presostato,3,FRE01,Paneles,FRE0108,Panel SIFA
FRE010808,    Aparellaje eléctrico,3,FRE01,Paneles,FRE0108,Panel SIFA
FRE0109,Panel Distribuidor,2,FRE01,Paneles,,
FRE010901,    Toma manométrica,3,FRE01,Paneles,FRE0109,Panel Distribuidor
FRE010902,    Llave de aislamiento,3,FRE01,Paneles,FRE0109,Panel Distribuidor
FRE010903,    Distensor / Regulador de presión,3,FRE01,Paneles,FRE0109,Panel Distribuidor
FRE010904,    Depósito Auxiliar,3,FRE01,Paneles,FRE0109,Panel Distribuidor
FRE010905,    Distribuidor,3,FRE01,Paneles,FRE0109,Panel Distribuidor
FRE010906,    Aparellaje eléctrico,3,FRE01,Paneles,FRE0109,Panel Distribuidor
FRE0110,Panel Arenero,2,FRE01,Paneles,,
FRE011001,    Toma manométrica,3,FRE01,Paneles,FRE0110,Panel Arenero
FRE011002,    Llave de aislamiento,3,FRE01,Paneles,FRE0110,Panel Arenero
FRE011003,    Distensor / Regulador de presión,3,FRE01,Paneles,FRE0110,Panel Arenero
FRE011004,    Electroválvula,3,FRE01,Paneles,FRE0110,Panel Arenero
FRE011005,    Aparellaje eléctrico,3,FRE01,Paneles,FRE0110,Panel Arenero
FRE0111,Panel Tercer carril,2,FRE01,Paneles,,
FRE011101,    Toma manométrica,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011102,    Llave de aislamiento,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011103,    Electroválvula,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011104,    Filtro de partículas,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011105,    Aparellaje eléctrico,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011106,Válvula antirretorno,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011107,Válvula de Seguridad,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011108,Distensor/Regulador de presión,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011109,Presostato,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE011110,Depósito auxiliar,3,FRE01,Paneles,FRE0111,Panel Tercer carril
FRE0112,Panel freno electromagnético,2,FRE01,Paneles,,
FRE011201,    Toma manométrica,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE011202,    Llave de aislamiento,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE011203,    Electroválvula,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE011204,    Válvula antiretorno,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE011205,    Aparellaje eléctrico,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE011206,    Presostato,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE011207,    Válvula pilotada neumáticamente,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE011208,    Depósito Auxiliar,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE011209,    Distensor / Regulador de presión,3,FRE01,Paneles,FRE0112,Panel freno electromagnético
FRE0113,Panel eje libre,2,FRE01,Paneles,,
FRE011301,Conjunto panel auxiliar eje libre  ,3,FRE01,Paneles,FRE0113,Panel eje libre
FRE011302,Presostato panel auxiliar,3,FRE01,Paneles,FRE0113,Panel eje libre
FRE03,Freno hidráulico,1,,,,
FRE0301,"Bomba hidráulica
HPU",2,FRE03,Freno hidráulico,,
FRE030101,Bomba hidráulica,3,FRE03,Freno hidráulico,FRE0301,"Bomba hidráulica
HPU"
FRE030102,Presostato de seguridad,3,FRE03,Freno hidráulico,FRE0301,"Bomba hidráulica
HPU"
FRE030103,Válvula de regulación,3,FRE03,Freno hidráulico,FRE0301,"Bomba hidráulica
HPU"
FRE030104,Aparellaje eléctrico,3,FRE03,Freno hidráulico,FRE0301,"Bomba hidráulica
HPU"
FRE030105,Control de freno hidráulico(Valvulería),3,FRE03,Freno hidráulico,FRE0301,"Bomba hidráulica
HPU"
FRE0302,Depósitos de aceite/acumulador,2,FRE03,Freno hidráulico,,
FRE0303,Presostato de seguridad,2,FRE03,Freno hidráulico,,
FRE0304,Válvula de regulación,2,FRE03,Freno hidráulico,,
FRE0305,Tubería circuito de servicio,2,FRE03,Freno hidráulico,,
FRE0306,Tubería circuito de asistencia,2,FRE03,Freno hidráulico,,
FRE0307,Juntas y racores hidráulicos,2,FRE03,Freno hidráulico,,
FRE0309,Aparellaje eléctrico,2,FRE03,Freno hidráulico,,
FRE0310,Control de freno hidráulico(Valvulería),2,FRE03,Freno hidráulico,,
FRE0311,Sensor de peso,2,FRE03,Freno hidráulico,,
FRE031201,    Fuelle,3,FRE03,Freno hidráulico,,Otros
FRE031202,    Mangas,3,FRE03,Freno hidráulico,,Otros
FRE031203,    Guarniciones,3,FRE03,Freno hidráulico,,Otros
FRE031204,    Timonería,3,FRE03,Freno hidráulico,,Otros
FRE031205,    Cilindros sin freno de estacionamiento,3,FRE03,Freno hidráulico,,Otros
FRE031206,    Cilindros con freno de estacionamiento,3,FRE03,Freno hidráulico,,Otros
FRE031207,    Dispositivos de desbloqueo,3,FRE03,Freno hidráulico,,Otros
FRE031208,    Cables y tiradores de desbloqueo,3,FRE03,Freno hidráulico,,Otros
FRE04,Electroválvulas antibloqueo,1,,,,
FRE05,Frenos especiales,1,,,,
FRE0501,Freno EP 252,2,FRE05,Frenos especiales,,
FRE0502,Conectores-Mangueras,2,FRE05,Frenos especiales,,
FRE0503,Aparellaje eléctrico,2,FRE05,Frenos especiales,,
FRE06,Freno en rueda neumático,1,,,,
FRE0601,Cuerpo y sujeción bloques,2,FRE06,Freno en rueda neumático,,
FRE0602,Mangas,2,FRE06,Freno en rueda neumático,,
FRE0603,Zapatas,2,FRE06,Freno en rueda neumático,,
FRE0604,Timonería,2,FRE06,Freno en rueda neumático,,
FRE0605,Cilindros sin freno de estacionamiento,2,FRE06,Freno en rueda neumático,,
FRE0606,Cilindros con freno de estacionamiento,2,FRE06,Freno en rueda neumático,,
FRE0607,Dispositivos de desbloqueo,2,FRE06,Freno en rueda neumático,,
FRE0608,Cables y tiradores de desbloqueo,2,FRE06,Freno en rueda neumático,,
FRE07,Freno en disco neumático,1,,,,
FRE0701,Fuelle,2,FRE07,Freno en disco neumático,,
FRE0702,Mangas,2,FRE07,Freno en disco neumático,,
FRE0703,Guarniciones,2,FRE07,Freno en disco neumático,,
FRE0704,Timonería,2,FRE07,Freno en disco neumático,,
FRE0705,Cilindros sin freno de estacionamiento,2,FRE07,Freno en disco neumático,,
FRE0706,Cilindros con freno de estacionamiento,2,FRE07,Freno en disco neumático,,
FRE0707,Dispositivos de desbloqueo,2,FRE07,Freno en disco neumático,,
